,地方連絡協議会名,都道府県名,特殊作業員,普通作業員,軽作業員,造園工,法面工,とび工,石工,ブロック工,電工,鉄筋工,鉄骨工,塗装工,溶接工,運転手（特殊）,運転手（一般）,潜かん工,潜かん世話役,さく岩工,トンネル特殊工,トンネル作業員,トンネル世話役,橋りょう特殊工,橋りょう塗装工,橋りょう世話役,土木一般世話役,高級船員,普通船員,潜水士,潜水連絡員,潜水送気員,山林砂防工,軌道工,型わく工,大工,左官,配管工,はつり工,防水工,板金工,タイル工,サッシ工,屋根ふき工,内装工,ガラス工,建具工,ダクト工,保温工,設備機械工,交通誘導警備員A,交通誘導警備員B
24,近 畿,25 滋賀県,"24,700","21,300","16,300","24,300","28,900","26,600",,"29,000","23,900","27,400","25,100","27,300","29,800","25,100","22,900","35,000","42,200","28,800","43,600","30,800","43,800","32,400","31,900","39,500","26,900","29,000","24,700","37,700","28,300","29,400","26,400","40,700","27,500","26,600","26,600","24,500","28,800","26,800","26,900",,"29,200",,"29,300","26,600","26,800","24,700","27,000","26,600","16,300","13,700"
25,近 畿,26 京都府,"24,000","22,300","15,300","24,300","28,000","26,300",,,"23,300","26,500","25,400","28,100","29,600","23,800","22,000","35,000","42,200","28,800","42,800","29,600","43,200","32,400","31,900","39,500","26,500","29,000","24,700","37,200","28,300","29,200","26,400","41,300","28,400","26,300","26,900","24,400","28,800","26,800","27,500",,"29,200",,"29,400","26,600",,"25,000","26,800","26,300","16,500","13,200"
26,近 畿,27 大阪府,"25,700","21,800","15,200","24,300","29,000","28,000",,,"24,300","27,000","25,900","29,000","29,200","25,600","22,300","35,100","42,200","28,900","42,500","29,400","42,900","32,800","31,900","40,300","27,500","31,100","24,800","38,200",,"29,700","26,400","43,000","30,000","26,400","27,100","25,000","28,800","26,900",,,"28,700",,"29,400","26,700",,"24,300","26,500","26,100","16,200","14,000"
27,近 畿,28 兵庫県,"23,200","22,000","15,300","23,200","27,500","26,600",,"28,900","23,000","25,300","24,400","26,000","28,900","24,100","22,000","35,100","42,200","28,900","42,100","29,400","43,100","32,800","32,100","39,900","26,100","29,800","24,400","39,200",,"30,300","26,400","40,300","28,200","26,200","25,700","22,500","28,800","26,000","28,000",,"28,700",,"29,400","26,700",,"24,000","26,600","26,100","16,600","13,700"
28,近 畿,29 奈良県,"25,900","21,900","16,200","25,400","28,900","27,200",,,"23,900","27,100","25,900","28,900","30,700","24,800","22,500","35,000","42,200","28,900","43,300","29,600","43,900","32,400","31,900","39,400","27,700","30,400","24,800","37,400","28,300","29,600","26,400","44,200","29,600","26,600","27,700","25,000","28,800","26,800","27,500",,"29,200",,"29,500","26,600",,"25,400","27,000","26,000","16,700","13,900"
29,近 畿,30 和歌山県,"25,100","22,200","15,700","24,000","27,900","27,000",,,"24,100","26,000","25,300","28,200","29,300","23,400","21,900","35,100","42,200","28,900","41,300","29,300","43,200","32,400","32,000","39,500","27,800","29,100","24,800","37,400","28,300","29,100","26,400","41,800","30,000","26,400","27,200","24,000","28,900","26,600","27,600",,"28,900",,"29,400","26,700",,"25,100","26,800","25,800","16,200","13,800"
30,中 国,31 鳥取県,"21,600","16,800","15,200","21,800","25,300","24,100",,"23,900","21,500","25,400","23,500","25,100","26,700","19,800","18,100","33,500","41,600","30,500","40,100","27,800","44,000","28,700","29,000","36,000","24,300","28,900","23,300","44,100","30,600","31,000",,"37,500","24,400","23,500","22,400","21,500","26,600","25,900","24,000",,"24,000",,"25,200","22,600","24,200","21,700","21,800","25,000","16,700","13,400"
31,中 国,32 島根県,"22,000","18,100","15,300","21,100","24,200","24,000",,,"21,500","25,000","22,800","23,300","24,500","21,600","18,500","33,500","41,600","30,500","41,000","28,700","44,000","28,700","29,000","35,600","23,300","28,900","23,300","44,300","32,300","31,200",,"31,300","23,500","23,900","21,600","21,200","26,900","24,600","23,500",,"23,800",,"24,600","22,600","23,500","21,700","21,800","25,000","16,700","14,300"
32,中 国,33 岡山県,"23,300","19,700","15,600","22,200","26,000","25,100",,"23,800","22,100","25,500","23,900","25,000","26,900","23,200","20,800","33,600","41,700","30,600","39,200","28,500","44,400","29,000","29,000","36,000","25,000","29,400","23,300","44,100","30,700","31,200",,"35,800","25,300","23,500","22,700","22,200","26,700","26,300","23,900",,"23,900",,"25,800","22,600","24,200","21,900","21,900","25,000","17,300","15,000"
33,中 国,34 広島県,"23,600","20,500","15,400","21,200","26,200","24,700",,,"22,800","24,300","23,700","23,800","24,700","23,700","20,800","33,500","41,500","30,400","41,100","28,400","43,900","29,000","29,000","36,000","24,200","29,000","23,800","44,900","32,700","31,500",,"31,400","24,600","23,800","22,400","21,400","26,800","25,300","23,200",,"23,800",,"24,600","22,600","23,300","21,600","21,800","25,000","17,200","14,700"
